[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/17 13:12:35 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/17 - 13:12:40 | 200 |   8.32ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   7.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.34ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.39ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.61ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.87ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.52ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   7.06ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   7.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   8.64ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.18ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.47ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.51ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.74ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.99ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.99ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   6.92ms |       127.0.0.1 | POST     "/v1/credit"
