[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/19 00:36:26 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/19 - 00:37:16 | 200 |    5.6ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   7.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   9.86ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.09ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   8.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.19ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   9.19ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |    7.1ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.99ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.52ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.86ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   6.88ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  11.25ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  10.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  12.22ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |  10.27ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:16 | 200 |   5.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.87ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.62ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  10.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   10.6ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  11.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   11.1ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  11.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.41ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.25ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.53ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.06ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   8.52ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  12.94ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  13.56ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  13.42ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  13.42ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   9.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    8.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.06ms |       127.0.0.1 | POST     "/v1/credit"
